bet_on,actual,edge,stake,profit,won
0,0,0.18715350728365854,10,22.799999999999997,1
2,0,0.20181730179095325,10,-10.0,0
2,2,0.06770865226938166,10,14.5,1
0,2,0.23702703563682298,10,-10.0,0
0,1,0.08374265441808237,10,-10.0,0
2,2,0.14888197976684053,10,14.2,1
0,0,0.16591403193769233,10,12.0,1
2,0,0.10255871087768331,10,-10.0,0
2,0,0.16424752845360646,10,-10.0,0
2,1,0.17086724811026394,10,-10.0,0
0,2,0.06945463175180272,10,-10.0,0
2,1,0.05003308438945686,10,-10.0,0
2,1,0.08923717071979542,10,-10.0,0
0,2,0.2763400246761176,10,-10.0,0
0,2,0.160901854446502,10,-10.0,0
0,0,0.04197186971020328,10,12.5,1
2,2,0.2498329516293865,10,30.0,1
2,2,0.14703965571338645,10,15.0,1
2,2,0.046013835379360546,10,13.599999999999998,1
2,1,0.14371776411973092,10,-10.0,0
2,2,0.18808072226776673,10,33.0,1
2,0,0.09560543662801524,10,-10.0,0
0,2,0.14792366350334224,10,-10.0,0
2,2,0.10227986808834033,10,10.2,1
0,1,0.1775857303162641,10,-10.0,0
2,0,0.14807776272018075,10,-10.0,0
2,1,0.07210302878353703,10,-10.0,0
2,2,0.23435396150828502,10,12.100000000000001,1
1,2,0.055911702658935525,10,-10.0,0
0,1,0.09894459908025793,10,-10.0,0
0,0,0.1953090046577936,10,22.5,1
2,0,0.23559928998958035,10,-10.0,0
2,0,0.11755589246382747,10,-10.0,0
2,2,0.07739568570671235,10,20.4,1
0,2,0.1080297641373349,10,-10.0,0
2,0,0.05693650508206777,10,-10.0,0
2,2,0.15279450565537622,10,20.0,1
0,2,0.18810830945032414,10,-10.0,0
0,1,0.11160898124523255,10,-10.0,0
2,1,0.16292991437130194,10,-10.0,0
0,1,0.03195411280731325,10,-10.0,0
2,0,0.3394918044168569,10,-10.0,0
0,1,0.30449573560869436,10,-10.0,0
0,2,0.0832009882054241,10,-10.0,0
0,0,0.03627065085434783,10,23.0,1
0,2,0.08257511209018714,10,-10.0,0
0,0,0.16566225237324317,10,13.0,1
0,1,0.08676848569090123,10,-10.0,0
0,1,0.09141777508409293,10,-10.0,0
0,0,0.1605649301515325,10,22.400000000000006,1
2,0,0.08131877847269164,10,-10.0,0
2,1,0.04681529506586535,10,-10.0,0
0,2,0.13341288451967415,10,-10.0,0
0,1,0.07540143693037077,10,-10.0,0
2,0,0.15330523377579824,10,-10.0,0
2,2,0.2566530473547682,10,15.5,1
0,2,0.10304633645309752,10,-10.0,0
0,2,0.12286067958487357,10,-10.0,0
2,1,0.1758554823621194,10,-10.0,0
2,2,0.10100232270399617,10,11.200000000000003,1
2,1,0.2530415452061248,10,-10.0,0
0,1,0.05784137033659714,10,-10.0,0
0,2,0.034452878941773735,10,-10.0,0
2,2,0.1344473904392528,10,24.5,1
0,2,0.1537588974691858,10,-10.0,0
0,2,0.15290721455602413,10,-10.0,0
0,0,0.057373376882240035,10,10.0,1
2,1,0.16785763007058718,10,-10.0,0
2,0,0.1459891841044526,10,-10.0,0
0,2,0.03844385752061785,10,-10.0,0
2,2,0.06705871721330531,10,11.5,1
0,0,0.039904979163880194,10,13.900000000000002,1
2,0,0.07494583882146694,10,-10.0,0
2,0,0.13001631078908538,10,-10.0,0
2,2,0.24278353391213336,10,26.5,1
2,0,0.06231561928687113,10,-10.0,0
2,2,0.06513753760188978,10,12.100000000000001,1
2,0,0.3241508624395362,10,-10.0,0
0,0,0.1094945543848947,10,20.0,1
2,2,0.0637509080203682,10,7.5,1
2,2,0.061587597451677356,10,13.900000000000002,1
2,2,0.17441224029340568,10,20.0,1
0,1,0.10188934551879239,10,-10.0,0
2,1,0.03963218259839901,10,-10.0,0
0,1,0.15228247944255047,10,-10.0,0
2,2,0.06841830197541321,10,16.5,1
2,0,0.12062169682273849,10,-10.0,0
1,0,0.04645124298645553,10,-10.0,0
2,1,0.0481262307080591,10,-10.0,0
0,2,0.07883495213405922,10,-10.0,0
0,1,0.14343939490590793,10,-10.0,0
0,2,0.189564471775685,10,-10.0,0
0,2,0.0739918302931103,10,-10.0,0
2,0,0.16271745016574457,10,-10.0,0
2,2,0.08162435026793369,10,9.399999999999999,1
2,2,0.22348505926830875,10,8.899999999999999,1
0,2,0.09678110483901481,10,-10.0,0
0,1,0.09722594515200772,10,-10.0,0
2,1,0.10198323805727755,10,-10.0,0
2,2,0.1657993107301916,10,20.5,1
0,2,0.17904601368808437,10,-10.0,0
2,0,0.13698055792825714,10,-10.0,0
2,0,0.24883320519627078,10,-10.0,0
0,1,0.031414615075130936,10,-10.0,0
2,1,0.03006355259390525,10,-10.0,0
2,1,0.06281275763493877,10,-10.0,0
0,2,0.27479820176648145,10,-10.0,0
0,0,0.1350761028837834,10,11.0,1
2,0,0.28584055213087317,10,-10.0,0
2,0,0.05458549443102484,10,-10.0,0
2,1,0.23898983692865844,10,-10.0,0
2,1,0.1462649074039863,10,-10.0,0
2,1,0.1288488206202984,10,-10.0,0
0,0,0.04649960981186613,10,17.7,1
0,0,0.13741496838519712,10,23.0,1
0,1,0.36780923709518243,10,-10.0,0
2,2,0.1375477959925624,10,18.5,1
0,1,0.1203614372365468,10,-10.0,0
2,0,0.1299115709673303,10,-10.0,0
2,2,0.06875414281982783,10,8.100000000000001,1
2,1,0.1017336240890398,10,-10.0,0
2,0,0.09375725933426438,10,-10.0,0
2,2,0.05160815107177508,10,9.2,1
2,2,0.11508592050670352,10,15.5,1
0,2,0.10105650142508033,10,-10.0,0
2,0,0.09685375851450917,10,-10.0,0
0,0,0.18259462387430875,10,17.1,1
0,2,0.057656972052015254,10,-10.0,0
0,2,0.1787755865089089,10,-10.0,0
0,2,0.08510921536806787,10,-10.0,0
0,2,0.035837815460977196,10,-10.0,0
2,1,0.2456828343299367,10,-10.0,0
2,2,0.09121225977671282,10,17.200000000000003,1
2,1,0.0823622772833173,10,-10.0,0
0,2,0.11104401305121323,10,-10.0,0
0,2,0.14834331713462046,10,-10.0,0
2,2,0.12148625304094507,10,18.5,1
0,0,0.1139546112094563,10,39.0,1
2,2,0.049215116683665794,10,15.399999999999999,1
2,2,0.13220168296653495,10,18.599999999999998,1
2,2,0.25166128559303425,10,28.0,1
0,0,0.05824481947247345,10,25.0,1
2,1,0.13882899750728056,10,-10.0,0
0,0,0.11328922972421507,10,11.5,1
2,2,0.11450811169445574,10,11.899999999999999,1
0,2,0.10718206886798726,10,-10.0,0
0,2,0.17665352055081665,10,-10.0,0
2,2,0.04379844079907702,10,16.9,1
2,0,0.1238863825024995,10,-10.0,0
2,2,0.052923790912415614,10,8.100000000000001,1
0,1,0.04811417329013251,10,-10.0,0
2,0,0.03972993769065791,10,-10.0,0
0,2,0.14928510148901894,10,-10.0,0
2,1,0.07128647250132158,10,-10.0,0
2,0,0.10974871133596781,10,-10.0,0
1,0,0.04223705450597856,10,-10.0,0
0,0,0.16240906269911115,10,13.2,1
2,0,0.09276638973038998,10,-10.0,0
0,1,0.07578427660171921,10,-10.0,0
0,2,0.14825638099974642,10,-10.0,0
2,0,0.27993171330668865,10,-10.0,0
2,0,0.12958183105928395,10,-10.0,0
2,2,0.03435307838647472,10,7.399999999999999,1
1,1,0.03503327627023475,10,34.5,1
0,2,0.10395042708949254,10,-10.0,0
0,2,0.03610157041728773,10,-10.0,0
2,1,0.10840108361327477,10,-10.0,0
2,0,0.0935515151146597,10,-10.0,0
2,0,0.166488025056921,10,-10.0,0
0,2,0.3281608747723796,10,-10.0,0
2,0,0.03551675286686645,10,-10.0,0
2,1,0.06061957536109985,10,-10.0,0
0,0,0.17927259406657203,10,29.5,1
2,0,0.06494259434553556,10,-10.0,0
0,2,0.06976250378768611,10,-10.0,0
0,2,0.14864139996772197,10,-10.0,0
2,2,0.09611343988396243,10,15.600000000000001,1
2,1,0.07401918513040723,10,-10.0,0
2,0,0.12322220167441683,10,-10.0,0
2,0,0.16322323178022863,10,-10.0,0
2,0,0.11751320233187623,10,-10.0,0
2,0,0.1266280041857245,10,-10.0,0
0,0,0.06415229182454063,10,11.600000000000001,1
1,1,0.031046098330010735,10,31.5,1
0,0,0.15766935945401023,10,32.0,1
2,2,0.13520913404835166,10,18.599999999999998,1
2,0,0.20058328490846355,10,-10.0,0
0,0,0.35316475096446986,10,23.5,1
2,1,0.11972208595196765,10,-10.0,0
0,2,0.03646549556536871,10,-10.0,0
2,2,0.06480113549123562,10,14.8,1
2,1,0.13457088562913921,10,-10.0,0
0,0,0.21786431693990216,10,22.799999999999997,1
2,0,0.10507125983268434,10,-10.0,0
0,1,0.24232610218040795,10,-10.0,0
0,2,0.09252195635269256,10,-10.0,0
2,2,0.04427558222526268,10,15.2,1
2,2,0.11676291293361135,10,17.0,1
2,1,0.1267264515349203,10,-10.0,0
0,0,0.351422093620716,10,19.6,1
0,0,0.2211359254529292,10,12.0,1
0,2,0.092558161913052,10,-10.0,0
2,0,0.057140678582323856,10,-10.0,0
2,0,0.054140849065052954,10,-10.0,0
0,2,0.18267965616037912,10,-10.0,0
1,1,0.07892193396655639,10,35.0,1
0,2,0.11082991257827057,10,-10.0,0
2,0,0.07402526848182178,10,-10.0,0
2,0,0.059762188615312295,10,-10.0,0
0,1,0.12712076844248027,10,-10.0,0
2,0,0.033342875025930585,10,-10.0,0
1,2,0.03646702890911699,10,-10.0,0
2,1,0.09583608456851778,10,-10.0,0
1,0,0.03954780229188015,10,-10.0,0
2,0,0.19083189355429298,10,-10.0,0
0,2,0.16495338995797343,10,-10.0,0
0,0,0.21452386653033972,10,8.400000000000002,1
0,0,0.047357414243186624,10,19.0,1
2,2,0.2461633421245108,10,20.8,1
0,2,0.053379696657327724,10,-10.0,0
2,0,0.04996384047855318,10,-10.0,0
2,2,0.18604996946318464,10,12.5,1
0,0,0.05880260392845965,10,18.599999999999998,1
0,0,0.16290628621504843,10,21.5,1
2,2,0.33725462229253445,10,24.5,1
2,0,0.05778469812963877,10,-10.0,0
0,1,0.15586716507623138,10,-10.0,0
0,2,0.1300464118127847,10,-10.0,0
2,1,0.11975533304791561,10,-10.0,0
2,2,0.10707485864423605,10,8.100000000000001,1
2,2,0.1612294923787072,10,12.7,1
0,2,0.11252568560552079,10,-10.0,0
2,0,0.030333299985264184,10,-10.0,0
0,0,0.2512187404530597,10,10.600000000000001,1
0,0,0.04619424886922702,10,26.0,1
1,0,0.030313716486232684,10,-10.0,0
0,2,0.0688270826518283,10,-10.0,0
0,0,0.08085541697312304,10,20.2,1
0,0,0.07934908347116565,10,20.5,1
2,0,0.17588040651915604,10,-10.0,0
2,0,0.24192456477648405,10,-10.0,0
2,1,0.15779560579654636,10,-10.0,0
2,1,0.07761734483437044,10,-10.0,0
0,2,0.2066578830349059,10,-10.0,0
0,0,0.19798403999737657,10,25.0,1
2,0,0.1146371109383365,10,-10.0,0
0,0,0.17817066416544003,10,21.0,1
0,2,0.18802943421677748,10,-10.0,0
0,1,0.09107625748591713,10,-10.0,0
2,2,0.04109650552423555,10,20.4,1
2,2,0.08176443928992028,10,14.900000000000002,1
2,0,0.08038898120367743,10,-10.0,0
2,2,0.08957710159791599,10,17.5,1
2,2,0.1699754354095842,10,22.5,1
2,0,0.21538849986347758,10,-10.0,0
0,2,0.3477418084827485,10,-10.0,0
2,0,0.14960700146369477,10,-10.0,0
2,2,0.11435220947390518,10,25.6,1
0,2,0.1591578137613024,10,-10.0,0
2,1,0.17753555165714946,10,-10.0,0
2,0,0.1857715189739088,10,-10.0,0
2,2,0.077740651362397,10,12.200000000000003,1
2,0,0.2294655941736729,10,-10.0,0
