"","season","gameId","date","result_reg","team_goals_reg_home","team_goals_reg_away","teamname_home","teamname_away","odd_winhome","odd_draw","odd_awaywin"
"1",2011,"2011020001",2011-10-06,0,1,2,"BOS","PHI",2.29,4.2,2.9
"2",2011,"2011020002",2011-10-06,2,2,0,"TOR","MTL",2.5,4,2.6
"3",2011,"2011020003",2011-10-06,1,3,3,"VAN","PIT",2.1,4.2,3.15
"4",2011,"2011020004",2011-10-07,0,1,5,"CAR","TBL",2.64,4,2.6
"5",2011,"2011020005",2011-10-07,2,5,3,"DET","OTT",1.75,4.5,4
"6",2011,"2011020006",2011-10-07,0,2,3,"CBJ","NSH",2.5,4,2.64
"7",2011,"2011020007",2011-10-07,2,4,1,"BUF","ANA",2.4,4.15,2.85
"8",2011,"2011020008",2011-10-07,2,2,1,"DAL","CHI",2.7,4,2.45
"9",2011,"2011020009",2011-10-07,1,2,2,"LAK","NYR",2.35,4,2.7
"10",2011,"2011020010",2011-10-08,2,4,1,"BOS","TBL",2.1,4.33,3.25
"11",2011,"2011020011",2011-10-08,2,6,5,"TOR","OTT",2.05,4.33,3.25
"12",2011,"2011020012",2011-10-08,0,0,3,"NJD","PHI",2.64,4.2,2.45
"13",2011,"2011020013",2011-10-08,1,3,3,"WSH","CAR",1.87,4.33,3.9
"14",2011,"2011020014",2011-10-08,0,0,2,"NYI","FLA",2.4,4.1,2.89
"15",2011,"2011020015",2011-10-08,0,2,4,"STL","NSH",2.3,4.2,3.1
"16",2011,"2011020016",2011-10-08,2,4,2,"MIN","CBJ",2.28,4.33,2.9
"17",2011,"2011020017",2011-10-08,2,5,2,"CHI","DAL",1.9,4.5,3.6
"18",2011,"2011020018",2011-10-08,0,0,3,"COL","DET",3.15,4.33,2.2
"19",2011,"2011020019",2011-10-08,0,3,5,"CGY","PIT",2.55,4,2.6
"20",2011,"2011020020",2011-10-08,1,1,1,"ANA","NYR",2.72,4.11,2.55
"21",2011,"2011020021",2011-10-08,2,6,3,"SJS","PHX",1.9,4.4,3.75
"22",2011,"2011020022",2011-10-08,0,2,4,"LAK","BUF",2.6,4.1,2.5
"23",2011,"2011020023",2011-10-09,0,1,5,"WPG","MTL",NA,NA,NA
"24",2011,"2011020024",2011-10-09,1,1,1,"EDM","PIT",2.9,4.2,2.7
"25",2011,"2011020025",2011-10-10,0,0,1,"BOS","COL",1.74,4.75,4.33
"26",2011,"2011020026",2011-10-10,2,4,2,"NJD","CAR",2.35,4.1,2.9
"27",2011,"2011020027",2011-10-10,2,2,1,"NYI","MIN",2.45,4.1,2.64
"28",2011,"2011020028",2011-10-10,2,5,2,"STL","CGY",2.2,4.2,3
"29",2011,"2011020029",2011-10-10,1,5,5,"WSH","TBL",2.05,4.5,3.3
"30",2011,"2011020030",2011-10-10,0,2,3,"CBJ","VAN",3.1,4.33,2.15
"31",2011,"2011020031",2011-10-10,1,1,1,"DAL","PHX",2.29,4.2,2.8
"32",2011,"2011020032",2011-10-11,2,4,2,"PIT","FLA",2,4.33,3.45
"33",2011,"2011020033",2011-10-11,1,3,3,"OTT","MIN",2.4,4.05,2.95
"34",2011,"2011020034",2011-10-12,1,2,2,"CBJ","COL",2.25,4.2,3
"35",2011,"2011020035",2011-10-12,2,5,4,"PHI","VAN",2.3,4.2,3
"36",2011,"2011020036",2011-10-12,2,3,2,"CAR","BOS",3,4,2.35
"37",2011,"2011020037",2011-10-13,1,1,1,"NJD","LAK",2.64,4,2.5
"38",2011,"2011020038",2011-10-13,2,5,1,"NYI","TBL",2.75,4,2.35
"39",2011,"2011020039",2011-10-13,1,2,2,"PIT","WSH",2.7,4,2.5
"40",2011,"2011020040",2011-10-13,0,1,4,"MTL","CGY",2.4,4,2.89
"41",2011,"2011020041",2011-10-13,0,1,7,"OTT","COL",2.15,4.33,3
