Unnamed: 0,season,gameId,date,result_reg,team_goals_reg_home,team_goals_reg_away,teamname_home,teamname_away,odd_winhome,odd_draw,odd_awaywin,teamname_home_home_dup,home_goals_from_players,home_assists,home_shots,home_toi_total,home_num_players,teamname_away_away_dup,away_goals_from_players,away_assists,away_shots,away_toi_total,away_num_players
1,2011,2011020001,2011-10-06,0,1,2,BOS,PHI,2.29,4.2,2.9,BOS,1.0,2.0,23.0,21193,20,PHI,2.0,4.0,29.0,20955,20
2,2011,2011020002,2011-10-06,2,2,0,TOR,MTL,2.5,4.0,2.6,TOR,2.0,4.0,18.0,21084,20,MTL,0.0,0.0,32.0,21120,20
3,2011,2011020003,2011-10-06,1,3,3,VAN,PIT,2.1,4.2,3.15,VAN,3.0,4.0,36.0,22852,20,PIT,3.0,5.0,28.0,22740,20
4,2011,2011020004,2011-10-07,0,1,5,CAR,TBL,2.64,4.0,2.6,CAR,1.0,2.0,33.0,20988,20,TBL,5.0,9.0,34.0,21000,20
5,2011,2011020005,2011-10-07,2,5,3,DET,OTT,1.75,4.5,4.0,DET,5.0,7.0,39.0,21349,20,OTT,3.0,6.0,32.0,21040,20
6,2011,2011020006,2011-10-07,0,2,3,CBJ,NSH,2.5,4.0,2.64,CBJ,2.0,4.0,34.0,21325,20,NSH,3.0,5.0,31.0,21000,20
7,2011,2011020007,2011-10-07,2,4,1,BUF,ANA,2.4,4.15,2.85,BUF,4.0,8.0,25.0,20760,20,ANA,1.0,1.0,30.0,20981,20
8,2011,2011020008,2011-10-07,2,2,1,DAL,CHI,2.7,4.0,2.45,DAL,2.0,3.0,33.0,21118,20,CHI,1.0,2.0,38.0,21360,20
9,2011,2011020009,2011-10-07,1,2,2,LAK,NYR,2.35,4.0,2.7,LAK,3.0,5.0,30.0,22720,20,NYR,2.0,4.0,26.0,22283,20
22,2011,2011020022,2011-10-08,0,2,4,LAK,BUF,2.6,4.1,2.5,LAK,2.0,4.0,33.0,21113,20,BUF,4.0,7.0,26.0,21295,20
21,2011,2011020021,2011-10-08,2,6,3,SJS,PHX,1.9,4.4,3.75,SJS,6.0,9.0,52.0,20891,20,PHX,3.0,6.0,29.0,21178,20
20,2011,2011020020,2011-10-08,1,1,1,ANA,NYR,2.72,4.11,2.55,ANA,1.0,2.0,28.0,22299,20,NYR,1.0,1.0,15.0,22380,20
19,2011,2011020019,2011-10-08,0,3,5,CGY,PIT,2.55,4.0,2.6,CGY,3.0,5.0,20.0,21017,20,PIT,5.0,8.0,37.0,21201,20
18,2011,2011020018,2011-10-08,0,0,3,COL,DET,3.15,4.33,2.2,COL,0.0,0.0,29.0,21120,20,DET,3.0,4.0,39.0,21240,20
17,2011,2011020017,2011-10-08,2,5,2,CHI,DAL,1.9,4.5,3.6,CHI,5.0,9.0,31.0,21018,20,DAL,2.0,4.0,21.0,20918,20
14,2011,2011020014,2011-10-08,0,0,2,NYI,FLA,2.4,4.1,2.89,NYI,0.0,0.0,27.0,20909,20,FLA,2.0,4.0,29.0,21120,20
15,2011,2011020015,2011-10-08,0,2,4,STL,NSH,2.3,4.2,3.1,STL,2.0,4.0,33.0,21210,20,NSH,4.0,8.0,16.0,21116,20
13,2011,2011020013,2011-10-08,1,3,3,WSH,CAR,1.87,4.33,3.9,WSH,4.0,7.0,36.0,21953,20,CAR,3.0,6.0,31.0,21838,20
12,2011,2011020012,2011-10-08,0,0,3,NJD,PHI,2.64,4.2,2.45,NJD,0.0,0.0,20.0,20653,20,PHI,3.0,5.0,29.0,20967,20
11,2011,2011020011,2011-10-08,2,6,5,TOR,OTT,2.05,4.33,3.25,TOR,6.0,11.0,35.0,20837,20,OTT,5.0,8.0,32.0,20606,20
10,2011,2011020010,2011-10-08,2,4,1,BOS,TBL,2.1,4.33,3.25,BOS,4.0,8.0,42.0,20656,20,TBL,1.0,2.0,26.0,20640,20
16,2011,2011020016,2011-10-08,2,4,2,MIN,CBJ,2.28,4.33,2.9,MIN,4.0,7.0,26.0,20881,20,CBJ,2.0,4.0,31.0,21254,20
24,2011,2011020024,2011-10-09,1,1,1,EDM,PIT,2.9,4.2,2.7,EDM,1.0,2.0,35.0,21920,20,PIT,1.0,2.0,34.0,22380,20
30,2011,2011020030,2011-10-10,0,2,3,CBJ,VAN,3.1,4.33,2.15,CBJ,2.0,3.0,25.0,21224,20,VAN,3.0,5.0,25.0,21000,20
31,2011,2011020031,2011-10-10,1,1,1,DAL,PHX,2.29,4.2,2.8,DAL,1.0,2.0,25.0,22371,20,PHX,1.0,2.0,41.0,22278,20
29,2011,2011020029,2011-10-10,1,5,5,WSH,TBL,2.05,4.5,3.3,WSH,5.0,7.0,43.0,22568,20,TBL,5.0,9.0,28.0,22260,20
27,2011,2011020027,2011-10-10,2,2,1,NYI,MIN,2.45,4.1,2.64,NYI,2.0,4.0,14.0,20640,20,MIN,1.0,2.0,21.0,21229,20
26,2011,2011020026,2011-10-10,2,4,2,NJD,CAR,2.35,4.1,2.9,NJD,4.0,8.0,26.0,20880,20,CAR,2.0,4.0,26.0,21054,20
25,2011,2011020025,2011-10-10,0,0,1,BOS,COL,1.74,4.75,4.33,BOS,0.0,0.0,30.0,21120,20,COL,1.0,2.0,36.0,21240,20
28,2011,2011020028,2011-10-10,2,5,2,STL,CGY,2.2,4.2,3.0,STL,5.0,8.0,35.0,21221,20,CGY,2.0,4.0,17.0,21120,20
32,2011,2011020032,2011-10-11,2,4,2,PIT,FLA,2.0,4.33,3.45,PIT,4.0,7.0,29.0,21011,20,FLA,2.0,4.0,34.0,21120,20
33,2011,2011020033,2011-10-11,1,3,3,OTT,MIN,2.4,4.05,2.95,OTT,3.0,6.0,44.0,22829,20,MIN,3.0,3.0,27.0,22528,20
34,2011,2011020034,2011-10-12,1,2,2,CBJ,COL,2.25,4.2,3.0,CBJ,2.0,2.0,33.0,22500,20,COL,2.0,4.0,32.0,22503,20
35,2011,2011020035,2011-10-12,2,5,4,PHI,VAN,2.3,4.2,3.0,PHI,5.0,8.0,27.0,20864,20,VAN,4.0,8.0,40.0,21077,20
36,2011,2011020036,2011-10-12,2,3,2,CAR,BOS,3.0,4.0,2.35,CAR,3.0,6.0,34.0,20989,20,BOS,2.0,4.0,28.0,21243,20
41,2011,2011020041,2011-10-13,0,1,7,OTT,COL,2.15,4.33,3.0,OTT,1.0,2.0,16.0,20974,20,COL,7.0,12.0,39.0,21182,20
46,2011,2011020046,2011-10-13,2,3,2,DAL,STL,2.64,4.2,2.55,DAL,3.0,4.0,24.0,21056,20,STL,2.0,4.0,38.0,21040,20
45,2011,2011020045,2011-10-13,2,4,3,CHI,WPG,1.83,4.51,4.0,CHI,4.0,7.0,32.0,21360,20,WPG,3.0,5.0,30.0,21290,20
44,2011,2011020044,2011-10-13,1,1,1,MIN,EDM,2.05,4.33,3.25,MIN,1.0,1.0,35.0,22621,20,EDM,1.0,2.0,22.0,22380,20
43,2011,2011020043,2011-10-13,0,2,5,NSH,PHX,2.15,4.2,3.1,NSH,2.0,3.0,25.0,21360,20,PHX,5.0,9.0,31.0,21240,20
39,2011,2011020039,2011-10-13,1,2,2,PIT,WSH,2.7,4.0,2.5,PIT,2.0,4.0,41.0,22396,20,WSH,3.0,5.0,19.0,21897,20
40,2011,2011020040,2011-10-13,0,1,4,MTL,CGY,2.4,4.0,2.89,MTL,1.0,1.0,36.0,21191,20,CGY,4.0,7.0,21.0,21120,20
38,2011,2011020038,2011-10-13,2,5,1,NYI,TBL,2.75,4.0,2.35,NYI,5.0,6.0,34.0,21120,20,TBL,1.0,1.0,35.0,21067,20
37,2011,2011020037,2011-10-13,1,1,1,NJD,LAK,2.64,4.0,2.5,NJD,1.0,2.0,37.0,22980,20,LAK,1.0,2.0,27.0,22860,20
42,2011,2011020042,2011-10-13,2,2,0,DET,VAN,2.12,4.5,3.1,DET,2.0,4.0,37.0,21000,20,VAN,0.0,0.0,25.0,20723,20
47,2011,2011020047,2011-10-14,0,3,4,BUF,CAR,1.95,4.33,3.75,BUF,3.0,5.0,42.0,20932,20,CAR,4.0,5.0,34.0,20760,20
48,2011,2011020048,2011-10-14,2,1,0,ANA,SJS,2.89,4.0,2.35,ANA,1.0,2.0,23.0,21000,20,SJS,0.0,0.0,31.0,21240,20
59,2011,2011020059,2011-10-15,2,4,2,DAL,CBJ,2.1,4.2,3.25,DAL,4.0,7.0,33.0,21080,20,CBJ,2.0,3.0,15.0,21145,20
60,2011,2011020060,2011-10-15,1,2,2,CHI,BOS,2.25,4.2,2.85,CHI,2.0,2.0,29.0,22740,20,BOS,2.0,4.0,37.0,22740,20
57,2011,2011020057,2011-10-15,1,2,2,NSH,NJD,2.3,4.0,2.89,NSH,2.0,4.0,31.0,22283,20,NJD,2.0,4.0,41.0,21598,20
62,2011,2011020062,2011-10-15,0,2,4,SJS,STL,2.0,4.33,3.35,SJS,2.0,4.0,36.0,21120,20,STL,4.0,4.0,20.0,21260,20
61,2011,2011020061,2011-10-15,0,3,4,EDM,VAN,3.2,4.2,2.1,EDM,3.0,6.0,30.0,21309,20,VAN,4.0,8.0,26.0,21161,20
56,2011,2011020056,2011-10-15,1,2,2,FLA,TBL,2.65,4.33,2.5,FLA,2.0,4.0,38.0,22860,20,TBL,2.0,3.0,30.0,22477,20
58,2011,2011020058,2011-10-15,1,2,2,MIN,DET,3.2,4.2,2.2,MIN,2.0,3.0,14.0,22518,20,DET,3.0,6.0,41.0,22736,20
54,2011,2011020054,2011-10-15,2,2,1,WSH,OTT,1.7,4.6,4.5,WSH,2.0,4.0,26.0,21480,20,OTT,1.0,2.0,34.0,21251,20
53,2011,2011020053,2011-10-15,0,2,3,PIT,BUF,2.4,4.2,2.85,PIT,2.0,3.0,31.0,21480,20,BUF,3.0,6.0,28.0,21458,20
55,2011,2011020055,2011-10-15,2,4,1,PHX,WPG,2.1,4.2,3.1,PHX,4.0,6.0,34.0,21129,20,WPG,1.0,2.0,19.0,21031,20
52,2011,2011020052,2011-10-15,1,2,2,PHI,LAK,2.29,4.05,3.05,PHI,2.0,4.0,34.0,21061,20,LAK,3.0,6.0,26.0,21178,20
51,2011,2011020051,2011-10-15,2,4,2,NYI,NYR,2.6,4.0,2.45,NYI,4.0,8.0,34.0,21120,20,NYR,2.0,2.0,31.0,20812,20
50,2011,2011020050,2011-10-15,1,5,5,MTL,COL,2.3,4.0,2.85,MTL,5.0,10.0,43.0,22670,20,COL,5.0,7.0,30.0,22621,20
49,2011,2011020049,2011-10-15,2,3,2,TOR,CGY,2.32,4.0,2.75,TOR,3.0,5.0,25.0,21165,20,CGY,2.0,4.0,32.0,21000,20
63,2011,2011020063,2011-10-16,2,4,2,ANA,STL,2.3,4.0,3.0,ANA,4.0,8.0,23.0,21121,20,STL,2.0,4.0,30.0,21139,20
